E,F
0.01,596000.00
0.10,433000.00
0.41,78900.00
0.53,73500.00
0.68,84700.00
0.88,88400.00
1.13,103000.00
1.44,131000.00
1.86,118000.00
2.38,152000.00
3.06,130000.00
3.93,234000.00
5.04,213000.00
6.48,203000.00
8.32,226000.00
10.70,260000.00
13.70,281000.00
17.60,294000.00
22.60,347000.00
29.00,286000.00
37.30,334000.00
47.90,405000.00
61.40,515000.00
78.90,443000.00
101.00,551000.00
130.00,621000.00
167.00,700000.00
214.00,736000.00
275.00,737000.00
354.00,888000.00
454.00,883000.00
583.00,938000.00
749.00,1040000.00
961.00,1150000.00
1230.00,1270000.00
1580.00,1490000.00
2030.00,659000.00
2250.00,691000.00
2490.00,363000.00
2610.00,346000.00
2750.00,730000.00
3040.00,657000.00
3350.00,831000.00
3710.00,1270000.00
4310.00,2100000.00
5530.00,2190000.00
7100.00,2570000.00
9120.00,1660000.00
10600.00,1200000.00
11700.00,3040000.00
15000.00,3570000.00
19300.00,1880000.00
21900.00,1190000.00
23600.00,473000.00
24200.00,407000.00
24800.00,869000.00
26100.00,607000.00
27000.00,1010000.00
28500.00,2270000.00
31800.00,1680000.00
34300.00,3050000.00
40900.00,2700000.00
46300.00,2800000.00
52500.00,1870000.00
56600.00,4690000.00
67400.00,2050000.00
72000.00,3480000.00
79500.00,1350000.00
82500.00,1710000.00
86500.00,4090000.00
98000.00,5030000.00
111000.00,2160000.00
117000.00,2110000.00
123000.00,2570000.00
129000.00,2770000.00
136000.00,2840000.00
143000.00,2520000.00
150000.00,2630000.00
158000.00,2510000.00
166000.00,3010000.00
174000.00,3260000.00
183000.00,3640000.00
193000.00,3680000.00
202000.00,3540000.00
213000.00,3890000.00
224000.00,3920000.00
235000.00,4140000.00
247000.00,9540000.00
273000.00,4950000.00
287000.00,2580000.00
295000.00,909000.00
297000.00,403000.00
298000.00,1250000.00
302000.00,10800000.00
334000.00,12400000.00
369000.00,6440000.00
388000.00,6740000.00
408000.00,13800000.00
450000.00,15500000.00
498000.00,8160000.00
523000.00,8530000.00
550000.00,8600000.00
578000.00,9270000.00
608000.00,9530000.00
639000.00,9960000.00
672000.00,10600000.00
707000.00,10600000.00
743000.00,11300000.00
781000.00,11400000.00
821000.00,11800000.00
863000.00,12200000.00
907000.00,14700000.00
962000.00,10900000.00
1000000.00,27400000.00
1110000.00,13900000.00
1160000.00,14100000.00
1220000.00,14300000.00
1290000.00,15000000.00
1350000.00,15300000.00
1420000.00,15200000.00
1500000.00,15600000.00
1570000.00,16000000.00
1650000.00,15700000.00
1740000.00,16100000.00
1830000.00,16300000.00
1920000.00,16400000.00
2020000.00,16600000.00
2120000.00,16700000.00
2230000.00,11200000.00
2310000.00,5740000.00
2350000.00,2830000.00
2370000.00,2930000.00
2390000.00,11100000.00
2470000.00,17200000.00
2590000.00,17400000.00
2730000.00,17200000.00
2870000.00,17000000.00
3010000.00,17300000.00
3170000.00,16800000.00
3330000.00,34900000.00
3680000.00,35600000.00
4070000.00,36200000.00
4490000.00,18900000.00
4720000.00,18700000.00
4970000.00,17500000.00
5220000.00,17800000.00
5490000.00,17900000.00
5770000.00,18600000.00
6070000.00,18300000.00
6380000.00,12200000.00
6590000.00,6470000.00
6700000.00,20700000.00
7050000.00,21100000.00
7410000.00,20600000.00
7790000.00,20200000.00
8190000.00,20300000.00
8610000.00,21000000.00
9050000.00,22100000.00
9510000.00,24400000.00
10000000.00,25700000.00
10500000.00,28500000.00
11100000.00,29600000.00
11600000.00,31600000.00
12200000.00,17700000.00
12500000.00,21900000.00
12800000.00,51800000.00
13500000.00,37000000.00
13800000.00,56900000.00
14200000.00,1140000000.00
14500000.00,5750000000.00
14900000.00,2810000000.00
15700000.00,0.00
16500000.00,0.00
16900000.00,0.00
17300000.00,0.00
19600000.00,0.00
